Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Todd,4,2,1,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,136,120,111,0,367,355,12,W,6,4,R,
(3-1),2,0,0,4,6,,,,,,,
(3-2),0,2,2,0,4,,,,,,,
Ici Ca Bz,108,124,123,0,355,367,-12,L,4,6,R,
Mat,31,40,45,116,1,,,,,,,
Gisko,32,32,26,90,5,,,,,,,
Hakim,15,22,39,76,6,,,,,,,
Shark,30,28,10,68,8,,,,,,,
Lxddz,0,2,3,5,10,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,GAMT,10,Qnt,0,174,,,,,,,
GAMT v. Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
ryannnn,60,51,40,151,1,,,,,,,
GAMT Arvo,36,27,48,111,2,,,,,,,
Luna,19,51,30,100,3,,,,,,,
GAMT Marky,30,32,24,86,5,,,,,,,
Log,2,1,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
George Arvo Mark Toad,147,162,144,0,453,279,174,W,10,0,R,
(4-1),2,2,2,4,10,,,,,,,
(0-4),0,0,0,0,0,,,,,,,
Quintessence,97,82,100,0,279,453,-174,L,0,10,R,
Verley,35,21,41,97,4,,,,,,,
Ben,24,28,25,77,6,,,,,,,
Locky,21,14,13,48,7,,,,,,,
Cole,15,16,16,47,8,,,,,,,
ICU,2,3,5,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,Cy,10,Qnt,0,98,,,,,,,
Cy v. Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Klover,43,15,49,107,1,,,,,,,
Monty,44,36,26,106,2,,,,,,,
DanUK,29,38,37,104,3,,,,,,,
Klyde,32,35,25,92,4,,,,,,,
Bran,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency White,150,126,139,0,415,317,98,W,10,0,R,
(3-2),2,2,2,4,10,,,,,,,
(0-5),0,0,0,0,0,,,,,,,
Quintessence,94,118,105,0,317,415,-98,L,0,10,R,
Goomba,13,43,36,92,5,,,,,,,
Aqua,32,20,30,82,6,,,,,,,
Ronin,30,35,15,80,7,,,,,,,
ICU,17,18,22,57,8,,,,,,,
Locky,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,By,10,Qnt,0,172,,,,,,,
By v. Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
zilla,35,54,47,136,1,,,,,,,
Spade,39,39,31,109,2,,,,,,,
Fire,44,26,36,106,3,,,,,,,
Declan,39,36,22,97,4,,,,,,,
Todd,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,159,156,137,0,452,280,172,W,10,0,R,
(4-1),2,2,2,4,10,,,,,,,
(0-6),0,0,0,0,0,,,,,,,
Quintessence,85,88,107,0,280,452,-172,L,0,10,R,
Ben,26,17,36,79,5,,,,,,,
Goomba,24,16,26,66,6,,,,,,,
Aqua,15,26,23,64,7,,,,,,,
ICU,18,26,14,58,8,,,,,,,
Locky,2,3,8,13,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,By,10,ST,0,136,,,,,,,
By v. ST (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Fire,23,57,38,118,1,,,,,,,
Declan,46,30,35,111,2,,,,,,,
jck,38,30,43,111,2,,,,,,,
Emperor,26,33,22,81,4,,,,,,,
Todd,3,2,1,6,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Brutality,136,152,139,0,427,291,136,W,10,0,R,
(5-1),2,2,2,4,10,,,,,,,
(3-1),0,0,0,0,0,,,,,,,
Shadow Team,94,92,105,0,291,427,-136,L,0,10,R,
Saru,20,29,25,74,5,,,,,,,
