Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Sam G,21,26,22,69,5,,,,,,,
myles,18,20,24,62,6,,,,,,,
Kei,4,4,3,11,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Gardie Lumb Wacker,92,134,113,0,339,329,10,W,8,2,R,
(3-3),0,2,2,4,8,,,,,,,
(2-5),2,0,0,0,2,,,,,,,
Northwest,152,78,99,0,329,339,-10,L,2,8,R,
Dxrk,51,27,33,111,1,,,,,,,
Awoo,36,29,34,99,3,,,,,,,
Mooray,31,10,19,60,7,,,,,,,
Zeke,34,12,12,58,8,,,,,,,
ardux,0,0,1,1,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/2022,JP,6,Nw,4,10,,,,,,,
JP v. Nw (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Mythos,24,27,53,104,2,,,,,,,
Jaden,31,31,36,98,3,,,,,,,
Sota,32,25,28,85,5,,,,,,,
Rompe,26,12,37,75,7,,,,,,,
Rentorar,4,2,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,117,97,157,0,371,361,10,W,6,4,R,
(6-1),0,0,2,4,6,,,,,,,
(2-6),2,2,0,0,4,,,,,,,
Northwest,127,147,87,0,361,371,-10,L,4,6,R,
Awoo,30,46,44,120,1,,,,,,,
Dxrk,34,43,13,90,4,,,,,,,
Zeke,32,27,18,77,6,,,,,,,
sotalite,31,29,11,71,8,,,,,,,
ardux,0,2,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/2022,XIV,10,JP,0,38,,,,,,,
XIV v. JP (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Airko,32,40,40,112,1,,,,,,,
laToiture,36,36,32,104,3,,,,,,,
GalDen,22,25,38,85,5,,,,,,,
Yoyoto,35,22,23,80,6,,,,,,,
Pat1,0,2,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,125,125,135,0,385,347,38,W,10,0,R,
(7-0),2,2,2,4,10,,,,,,,
(6-2),0,0,0,0,0,,,,,,,
Jugar o Perder,119,119,109,0,347,385,-38,L,0,10,R,
Jaden,41,28,39,108,2,,,,,,,
Mythos,28,29,32,89,4,,,,,,,
Rompe,29,31,16,76,7,,,,,,,
Vilxs,17,29,20,66,8,,,,,,,
Rentorar,4,2,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,Sw,6,XIV,4,2,,,,,,,
Sw vs XIV (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Bally,31,39,43,113,1,,,,,,,
winter,15,41,29,85,4,,,,,,,
Rob Fortune,21,40,19,80,6,,,,,,,
Ragemodepigeon,15,28,24,67,7,,,,,,,
Deli,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Southwest,84,150,117,0,351,349,2,W,6,4,R,
(2-5),0,2,0,4,6,,,,,,,
(7-1),2,0,2,0,4,,,,,,,
L Fourteen,128,94,127,0,349,351,-2,L,4,6,R,
Yoyoto,40,28,36,104,2,,,,,,,
GalDen,40,31,32,103,3,,,,,,,
jinays,34,14,33,81,5,,,,,,,
VLok,12,19,24,55,8,,,,,,,
Pat1,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,XIV,10,glw,0,64,,,,,,,
XIV vs glw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
GalDen,43,30,38,111,1,,,,,,,
Yoyoto,38,41,29,108,2,,,,,,,
Airko,29,32,31,92,5,,,,,,,
VLok,20,27,28,75,7,,,,,,,
Pat1,2,2,8,12,9,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,132,132,134,0,398,334,64,W,10,0,R,
(8-1),2,2,2,4,10,,,,,,,
(3-4),0,0,0,0,0,,,,,,,
Gardie Lumb Wacker,112,112,110,0,334,398,-64,L,0,10,R,
squirrel,39,29,32,100,3,,,,,,,
Sam G,34,24,35,93,4,,,,,,,
EvanTX,20,35,33,88,6,,,,,,,
Dhruv,17,22,9,48,8,,,,,,,
Masako,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,Sw,8,Nw,2,28,,,,,,,
Sw vs Nw (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
ciara,51,41,34,126,1,,,,,,,
Bally,29,44,27,100,3,,,,,,,
winter,22,27,27,76,6,,,,,,,
Rob Fortune,15,20,32,67,7,,,,,,,
Deli,4,3,4,11,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Southwest,121,135,124,0,380,352,28,W,8,2,R,
(3-5),0,2,2,4,8,,,,,,,
(2-7),2,0,0,0,2,,,,,,,
Northwest,123,109,120,0,352,380,-28,L,2,8,R,
Awoo,28,45,46,119,2,,,,,,,
Madison,43,17,28,88,4,,,,,,,
Jayme,39,22,25,86,5,,,,,,,
ardux,13,24,21,58,8,,,,,,,
Gamma,0,1,0,1,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,JP,10,glw,0,42,,,,,,,
JP vs glw (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Jaden,40,31,39,110,1,,,,,,,
Rompemoldes,29,34,32,95,2,,,,,,,
Trash,27,34,23,84,4,,,,,,,
Mythos,32,24,24,80,6,,,,,,,
Rentorar,2,3,13,18,10,OP Scr,+/-,WTD,TpF,TpA,Event,
