Teams,Abv,Pts,40,40,,,Matches,,,,,
Maq,2,2,4,8,9,,,,,,,
Superbia,132,146,132,0,410,,,,,,,
(6-3),2,2,2,4,10,,,,,,,
(3-6),0,0,0,0,0,,,,,,,
Avail,112,98,112,0,322,,,,,,,
Cheron,28,38,29,95,4,,,,,,,
Kevin,34,24,32,90,6,,,,,,,
Ballin,36,25,24,85,7,,,,,,,
Lucid,12,9,27,48,8,,,,,,,
Joris,2,2,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/8/22,[L],6,D,4,10,,,,,,,
[L] vs D (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
brody,32,41,26,99,,,,,,,,
Zestos,38,27,29,94,,,,,,,,
maisie,31,23,37,91,,,,,,,,
taka,14,23,47,84,,,,,,,,
Evan,2,0,1,3,,,,,,,,
Lightspeed Kitty Cats,117,114,140,-20,351,,,,,,,
(2-7),0,0,2,4,6,,,,,,,
(2-6),2,2,0,0,4,,,,,,,
Daisy Squad,127,130,104,-20,341,,,,,,,
EmilP,41,39,24,104,,,,,,,,
Kiwi,36,47,19,102,,,,,,,,
Kazam,31,24,25,80,,,,,,,,
Toto,17,16,33,66,,,,,,,,
Shaka,2,4,3,9,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/9/22,airy,8,Ap,2,18,,,,,,,
airy vs Ap (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Xander,40,30,32,102,1,,,,,,,
jack,35,30,30,95,3,,,,,,,
Kasperinos,28,28,37,93,4,,,,,,,
luke the toolbox,35,33,14,82,7,,,,,,,
Jazz,1,2,0,3,10,,,,,,,
airy,139,123,113,0,375,,,,,,,
(6-2),2,2,0,4,8,,,,,,,
(2-6),0,0,2,0,2,,,,,,,
Apocalypse Emerald,105,121,131,0,357,,,,,,,
swig,31,36,30,97,2,,,,,,,
Torp,22,29,41,92,5,,,,,,,
Chillz,27,24,32,83,6,,,,,,,
Thunda,22,30,24,76,8,,,,,,,
Thunder,3,2,4,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/9/22,Se,10,Ap,0,115,,,,,,,
