Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Wal00gi,0,2,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,Ez,8,Be,2,12,,,,,,,
Ez v. Be (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hintz,34,38,49,121,1,,,,,,,
Bluesharp,45,20,19,84,4,,,,,,,
kato,30,17,35,82,5,,,,,,,
Soon,27,17,36,80,6,,,,,,,
NathanUK,2,3,0,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,138,95,139,0,372,360,12,W,8,2,R,
(3-2),2,0,2,4,8,,,,,,,
(1-3),0,2,0,0,2,,,,,,,
Berserk II,106,149,105,0,360,372,-12,L,2,8,R,
FioNa,32,49,40,121,2,,,,,,,
ponyo,35,34,18,87,3,,,,,,,
ru2,28,24,26,78,7,,,,,,,
Paprika,9,41,17,67,8,,,,,,,
Sinon,2,1,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,bt,10,RISE,0,102,,,,,,,
bt v. RISE (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Miya,57,39,24,120,1,,,,,,,
Shumu,42,36,34,112,2,,,,,,,
atama,29,27,43,99,4,,,,,,,
nago,26,34,20,80,5,,,,,,,
KasperJP,3,1,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,157,137,123,0,417,315,102,W,10,0,R,
(4-2),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Rise,87,107,121,0,315,417,-102,L,0,10,R,
zyr,25,39,40,104,3,,,,,,,
2D,26,22,32,80,5,,,,,,,
JUDGE,22,32,18,72,7,,,,,,,
bodge/snowy,13,11,29,53,8,,,,,,,
twingy,1,3,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,Be,8,bt,2,24,,,,,,,
Be vs bt (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
TaTsuya,41,32,39,112,1,,,,,,,
FioNa,34,17,41,92,2,,,,,,,
ru2,14,29,31,74,5,,,,,,,
Papou,31,12,9,52,7,,,,,,,
Sinon,0,0,0,0,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,120,90,120,0,330,306,24,W,8,2,R,
(2-3),2,0,2,4,8,,,,,,,
(4-3),0,2,0,0,2,,,,,,,
Band Together,92,122,92,0,306,330,-24,L,2,8,R,
atama,22,37,29,88,3,,,,,,,
Ammo,20,38,24,82,4,,,,,,,
nago,23,24,21,68,6,,,,,,,
Missing Player,12,12,12,36,8,,,,,,,
amane,15,11,6,32,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,Hz,6,V$,4,10,,,,,,,
Hz vs V$ (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Remilia,36,30,48,114,1,,,,,,,
Jonny,43,29,16,88,4,,,,,,,
oj,37,26,24,87,5,,,,,,,
Azuki (7) / Lebby (5),32,19,24,75,8,,,,,,,
JoshNFLD,4,1,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Tunes Horizon,152,105,114,0,371,361,10,W,6,4,R,
(2-4),2,0,0,4,6,,,,,,,
(1-4),0,2,2,0,4,,,,,,,
Versatile,92,139,130,0,361,371,-10,L,4,6,R,
Spart,21,46,36,103,2,,,,,,,
smug,41,27,31,99,3,,,,,,,
Jesus,12,42,23,77,6,,,,,,,
Josue,18,21,38,77,6,,,,,,,
Bowser Castle 3,0,3,2,5,19,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,Be,10,RISE,0,91,,,,,,,
Be vs RISE (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
FioNa,37,35,45,117,1,,,,,,,
ru2,35,35,43,113,2,,,,,,,
TaTsuya,32,34,30,96,3,,,,,,,
Marron,26,16,34,76,7,,,,,,,
Sinon,3,2,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk II,133,122,154,0,409,318,91,W,10,0,R,
(3-3),2,2,2,4,10,,,,,,,
(1-5),0,0,0,0,0,,,,,,,
Rise,111,122,90,-5,318,409,-91,L,0,10,R,
JJ,22,33,29,84,4,,,,,,,
Nxvy,38,28,16,82,5,,,,,,,
