Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
barney,43,30,24,97,3,,,,,,,
Fox,33,22,33,88,5,,,,,,,
Feysal,32,25,22,79,7,,,,,,,
Evan,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,146,128,100,0,374,338,36,W,8,2,R,
(4-1),2,2,0,4,8,,,,,,,
(2-5),0,0,2,0,2,,,,,,,
Infinite Fusion,98,116,144,-20,338,374,-36,L,2,8,R,
Berry,22,42,37,101,2,,,,,,,
tay,22,26,43,91,4,,,,,,,
vtr,27,24,31,82,6,,,,,,,
Snow,25,22,23,70,8,,,,,,,
UsosloW,2,2,10,14,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,Se,6,XI,4,7,,,,,,,
Se vs XI (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Kasperinos,34,28,45,107,2,,,,,,,
Revan,31,25,34,90,4,,,,,,,
Shawn,52,19,16,87,5,,,,,,,
Edison,25,29,22,76,8,,,,,,,
Maq,1,4,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,143,105,119,0,367,360,7,W,6,4,R,
(5-2),2,0,0,4,6,,,,,,,
(4-2),0,2,2,0,4,,,,,,,
Lazarus,101,139,125,-5,360,367,-7,L,4,6,R,
Xander,21,46,43,110,1,,,,,,,
Fox,25,33,35,93,3,,,,,,,
Feysal,17,38,24,79,6,,,,,,,
barney,35,22,21,78,7,,,,,,,
Evan,3,0,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,D,8,IF,2,12,,,,,,,
D vs IF (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
The Funky Slayer,32,32,30,94,3,,,,,,,
LukeGB,24,34,35,93,4,,,,,,,
JAVO,35,22,35,92,5,,,,,,,
swig,32,18,36,86,6,,,,,,,
Fear (8) / MAKI (4),3,2,2,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,126,108,138,0,372,360,12,W,8,2,R,
(6-4),2,0,2,4,8,,,,,,,
(2-6),0,2,0,0,2,,,,,,,
Infinite Fusion,118,136,106,0,360,372,-12,L,2,8,R,
Berry,31,42,25,98,1,,,,,,,
Snow,23,32,41,96,2,,,,,,,
tay,29,31,23,83,7,,,,,,,
vtr,34,27,15,76,8,,,,,,,
UsosloW,1,4,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
