Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Caviid,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,Av,10,MY13,0,62,,,,,,,
Av vs MY13 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Pascal,37,35,48,120,1,,,,,,,
Delis,32,39,44,115,2,,,,,,,
Nash,39,28,28,95,3,,,,,,,
Jam,19,27,18,64,8,,,,,,,
Ballin,3,4,1,8,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Avail,130,133,139,-10,392,330,62,W,10,0,R,
(3-5),2,2,2,4,10,,,,,,,
(3-5),0,0,0,0,0,,,,,,,
MY13,114,111,105,0,330,392,-62,L,0,10,R,
Azn,26,34,26,86,4,,,,,,,
Fresh,41,19,19,79,5,,,,,,,
Cormac,19,32,28,79,5,,,,,,,
skin,27,26,20,73,7,,,,,,,
Sprixy,1,0,12,13,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,P,8,MY13,2,36,,,,,,,
P vs MY13 (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Goober,32,32,43,107,1,,,,,,,
zn,30,39,31,100,2,,,,,,,
Mio,20,22,42,84,5,,,,,,,
saky,38,20,25,83,6,,,,,,,
Fusion,4,3,3,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,124,116,144,0,384,348,36,W,8,2,R,
(6-3),2,0,2,4,8,,,,,,,
(3-6),0,2,0,0,2,,,,,,,
MY13,120,128,100,0,348,384,-36,L,2,8,R,
skin,43,39,12,94,3,,,,,,,
Fresh,38,27,26,91,4,,,,,,,
Cormac,14,32,36,82,7,,,,,,,
Azn,25,29,25,79,8,,,,,,,
Sprixy,0,1,1,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,Mt,7,GUN,3,27,,,,,,,
Mt vs GUN (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Hisa,24,46,39,109,1,,,,,,,
Subaza,39,40,22,101,2,,,,,,,
Fred,36,33,20,89,5,,,,,,,
Zyra,20,25,30,75,7,,,,,,,
Deano,3,2,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,122,146,114,-5,377,350,27,W,7,3,R,
(5-4),1,2,0,4,7,,,,,,,
(5-4),1,0,2,0,3,,,,,,,
Team Gun,122,98,130,0,350,377,-27,L,3,7,R,
Nico,36,22,41,99,3,,,,,,,
space,27,29,39,95,4,,,,,,,
Fatal,25,33,24,82,6,,,,,,,
Browks,33,12,25,70,8,,,,,,,
Sasa,1,2,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,P,10,M,0,F,,,,,,,
P vs M (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,100,100,100,300,300,0,300,W,10,0,R,
(7-3),2,2,2,4,10,,,,,,,
(1-8),0,0,0,0,0,,,,,,,
Melody,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/21/22,fly,8,UX,2,11,,,,,,,
fly vs UX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Razz,48,37,29,114,1,,,,,,,
Cross,34,47,24,105,3,,,,,,,
Salvatore,36,21,27,84,5,,,,,,,
Galla,20,23,20,63,8,,,,,,,
Solem,4,4,0,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,142,132,100,-5,369,358,11,W,8,2,R,
(7-2),2,2,0,4,8,,,,,,,
(5-4),0,0,2,0,2,,,,,,,
Unxseen,102,112,144,0,358,369,-11,L,2,8,R,
Zestos,48,24,40,112,2,,,,,,,
xWill,20,33,46,99,4,,,,,,,
Nlaw,17,29,31,77,6,,,,,,,
Schwoz,17,26,23,66,7,,,,,,,
Aidlo,0,0,4,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/25/22,GUN,10,MY13,0,72,,,,,,,
GUN vs MY13 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
space,43,34,44,121,1,,,,,,,
Nico,42,44,24,110,3,,,,,,,
Fatal,30,29,26,85,4,,,,,,,
Browks,26,17,40,83,6,,,,,,,
Sasa,0,1,2,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,141,125,136,0,402,330,72,W,10,0,R,
(6-4),2,2,2,4,10,,,,,,,
(3-7),0,0,0,0,0,,,,,,,
MY13,103,119,108,0,330,402,-72,L,0,10,R,
Cormac,31,42,40,113,2,,,,,,,
Kira,22,30,32,84,5,,,,,,,
Zexous,28,16,21,65,7,,,,,,,
Azn,12,28,13,53,8,,,,,,,
Dragonfly,10,3,2,15,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,Mt,8,UX,2,12,,,,,,,
Mt vs UX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Fred,40,39,30,109,1,,,,,,,
Zyra,36,21,43,100,4,,,,,,,
subaza,31,24,24,79,6,,,,,,,
Lonie,26,22,2,50,8,,,,,,,
Asuna,2,2,30,34,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,135,108,129,0,372,360,12,W,8,2,R,
(6-4),2,0,2,4,8,,,,,,,
(5-5),0,2,0,0,2,,,,,,,
Unxseen,109,136,115,0,360,372,-12,L,2,8,R,
Zestos,46,39,24,109,1,,,,,,,
Schwoz,19,53,32,104,3,,,,,,,
Ruben,23,22,41,86,5,,,,,,,
Joey,19,20,16,55,7,,,,,,,
Aidlo,2,2,2,6,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,Av,8,fly,2,62,,,,,,,
Av vs fly (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Nash,51,43,22,116,1,,,,,,,
Aurora,29,42,30,101,2,,,,,,,
JAM,28,24,42,94,4,,,,,,,
Robert,28,18,20,66,8,,,,,,,
Ballin,3,4,3,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Avail,139,131,117,0,387,325,62,W,8,2,R,
(4-5),2,2,0,4,8,,,,,,,
(7-3),0,0,2,0,2,,,,,,,
Butterfly Effect,105,113,127,-20,325,387,-62,L,2,8,R,
Alex,30,25,43,98,3,,,,,,,
Sal,32,24,28,84,5,,,,,,,
Razz,19,46,16,81,6,,,,,,,
Kim,23,18,39,80,7,,,,,,,
Solem,1,0,1,2,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,Av,8,M,2,84,,,,,,,
Av vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
JAM,34,43,31,108,1,,,,,,,
Aurora,43,42,22,107,2,,,,,,,
Nash,34,30,37,101,3,,,,,,,
Delis,26,31,27,84,6,,,,,,,
Ballin,4,3,1,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Avail,141,149,118,0,408,324,84,W,8,2,R,
(5-5),2,2,0,4,8,,,,,,,
(1-9),0,0,2,0,2,,,,,,,
Melody,103,95,126,0,324,408,-84,L,2,8,R,
Mirymeg,29,26,38,93,4,,,,,,,
Jzck,28,29,36,93,4,,,,,,,
Kiralte,23,23,25,71,7,,,,,,,
Kenn,23,16,24,63,8,,,,,,,
Salz,0,1,3,4,10,,,,,,,
